kort,long,hydrering,pris,default
salt,Salt,0,16,1.1
jäst,Jäst,0,64,0.6
vete10,ICA Vetemjöl 10%,1.0,8.3,0
vete12,ICA Specialvetemjöl 12%,1.05,13.25,0
vete13,Finax TIPO 00 13%,1.09,15.5,0
veteun,United Gross 9.5%,0.97,14.0,0
fullkorn,ICA fullkorn gramhamsmjöl,1.25,15.0,0
fullkung,Kungsörnen Vetemjöl Fullkorn,1.1,16.0,0
fullspec,Kungsörnen Vetemjöl Special Fullkorn,1.12,18.5,0
dinkel,ICA Ekologisk dinkel 11%,1.03,32.0,0
rågsikt,ICA Rågsikt,1.14,12.0,0
rågmjöl,Kungsörnen Fint rågmjöl,1.6,13.0,0
råggrov,Kungsörnen Grovmalt rågmjöl,1.18,14.0,0
rågkross,Kungsörnen rågkross,1.53,16.0,0
graham,ICA Finkornigt graham,1.34,15.0,0
kruska,Kungsörnen Kruskakli,2.44,17.0,0
vetekli,Kungsörnen Vetekli,2.4,17.0,0
vetegrodd,Risenta vetegroddar,2.1111,30.0,0
havregryn,ICA Havregryn,1.75,12.0,0
havrekli,Kungsörnen Havrekli,2.5,17.0,0
